
 ****** Running generation 0 ****** 

Population's average fitness: 21.84875 stdev: 3.60914
Best fitness: 34.00000 - size: (6, 26) - species 12 - id 125
Average adjusted fitness: 0.535
Mean genetic distance 3.156, standard deviation 0.234
Population of 799 members in 125 species:
   ID   age  size  fitness  adj fit  stag
    70    3     5     28.0    0.500     2
    71    3     5     24.0    0.450     2
    72    3     6     28.0    0.512     0
    73    3     5     27.0    0.600     2
    74    3     8     28.0    0.548     1
    75    3     6     27.0    0.571     1
    76    3     5     31.0    0.590     0
    77    3     4     25.0    0.640     1
    78    3     6     28.0    0.583     0
    79    3     5     22.0    0.380     1
    80    3     5     25.0    0.493     1
    81    3     6     24.0    0.497     2
    82    3     4     22.0    0.440     2
    83    3     3     24.0    0.450     2
    84    3     5     24.0    0.550     1
    85    3     6     25.0    0.576     1
    86    3     5     28.0    0.533     0
    87    3     3     25.0    0.440     2
    88    3     5     24.0    0.500     2
    89    3     6     26.0    0.536     1
    90    3     5     25.0    0.480     2
    91    3     6     26.0    0.504     0
    92    3     6     25.0    0.537     1
    93    3     6     30.0    0.543     0
    94    3     5     24.0    0.407     1
    95    3     8     32.0    0.674     0
    96    3     4     26.0    0.493     2
    97    3     4     26.0    0.533     1
    98    3     6     26.0    0.496     2
    99    3     5     25.0    0.447     2
   100    3     7     26.0    0.540     1
   101    3     5     24.0    0.527     1
   102    3     6     27.0    0.504     0
   103    3     5     24.0    0.430     2
   104    3     6     26.0    0.568     0
   105    3     6     28.0    0.611     0
   106    3     5     24.0    0.520     1
   107    3     5     25.0    0.560     2
   108    3     6     29.0    0.536     0
   109    3     7     30.0    0.493     2
   110    3     6     23.0    0.446     1
   111    3     6     33.0    0.664     0
   112    3     6     25.0    0.528     1
   113    3     5     30.0    0.507     0
   114    3     8     30.0    0.622     0
   115    3     5     26.0    0.550     2
   116    3     7     28.0    0.660     1
   117    3     7     30.0    0.647     1
   118    3     5     25.0    0.507     1
   119    3     6     30.0    0.760     0
   120    3     6     30.0    0.560     0
   121    3     8     25.0    0.560     1
   122    3     7     27.0    0.630     1
   123    3     5     26.0    0.507     2
   124    3     8     26.0    0.512     2
   125    3     6     28.0    0.440     1
   126    2     6     28.0    0.640     0
   127    2     6     27.0    0.536     1
   128    2    10     28.0    0.523     0
   129    2     5     26.0    0.587     0
   130    2     6     29.0    0.594     0
   131    2     6     27.0    0.528     0
   132    2     8     24.0    0.469     0
   133    2     6     28.0    0.495     0
   134    2     5     27.0    0.560     1
   135    1     5     27.0    0.620     0
   136    0     1       --       --     0
Total extinctions: 0
Generation time: 11.164 sec (10.765 average)

 ****** Running generation 4 ****** 

